time,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2021-01-29 04:12:00,319.0977,318.8636,319.0608,318.768,319.0751,317.4605,318.8593,319.313,319.1245,318.736
2021-01-29 04:14:00,319.1003,318.8254,318.7019,318.4415,319.1016,317.3207,318.5182,319.0132,318.9833,318.564
2021-01-29 04:16:00,319.0693,318.7888,318.6418,318.3669,319.0337,317.2625,318.4565,318.9916,318.99,318.5223
2021-01-29 04:18:00,319.0453,318.7624,318.6033,318.3354,318.9673,317.1909,318.5013,318.9782,318.9817,318.4788
2021-01-29 04:20:00,319.0278,318.6812,318.5583,318.2261,318.8827,317.106,318.3765,318.9316,318.9435,318.4604
2021-01-29 04:22:00,319.0209,318.565,318.5382,318.2293,318.7682,317.096,318.3333,318.8733,318.8921,318.417
2021-01-29 04:24:00,318.9683,318.5668,318.4798,318.2327,318.7782,317.0361,318.25,318.8567,318.9169,318.3953
2021-01-29 04:26:00,318.9197,318.3413,318.3579,318.0934,318.6124,316.8913,318.2466,318.7368,318.8157,318.2984
2021-01-29 04:28:00,318.8907,318.3081,318.2594,317.9476,318.4498,316.7948,318.0136,318.5769,318.756,318.24
2021-01-29 04:30:00,318.8492,318.2716,318.1375,317.8483,318.4283,316.67,317.992,318.477,318.7143,318.1765
2021-01-29 04:32:00,318.8454,318.1374,318.0624,317.946,318.3669,316.6051,317.842,318.457,318.6346,318.0328
2021-01-29 04:34:00,318.8841,318.0461,317.9789,317.7521,318.1745,316.5019,317.842,318.377,318.6445,318.093
2021-01-29 04:36:00,318.8319,318.0644,317.9789,317.7023,318.1662,316.442,317.7988,318.2771,318.6778,318.0797
2021-01-29 04:38:00,318.8006,317.9649,317.8787,317.5698,318.118,316.3588,317.7822,318.2338,318.6063,318.0128
2021-01-29 04:40:00,318.7893,317.9036,317.817,317.5781,317.9836,316.2823,317.6539,318.1339,318.5947,317.9744
2021-01-29 04:42:00,318.7666,317.7643,317.7369,317.4505,317.9654,316.219,317.579,318.0906,318.5167,317.9326
2021-01-29 04:44:00,318.6917,317.542,317.6367,317.3527,317.6669,316.041,317.4558,317.9873,318.5266,317.8959
2021-01-29 04:46:00,318.6666,317.5272,317.4998,317.1721,317.5641,315.8646,317.2744,317.7659,318.3888,317.7523
2021-01-29 04:48:00,318.6565,317.4625,317.3779,317.0528,317.4314,315.7397,317.1578,317.6959,318.3423,317.6721
2021-01-29 04:50:00,318.6209,317.3663,317.2777,316.9484,317.3451,315.6165,317.0929,317.6342,318.3456,317.652
2021-01-29 04:52:00,318.5851,317.2934,317.1375,316.8854,317.2555,315.5433,317.0629,317.5494,318.2825,317.5618
2021-01-29 04:54:00,318.4334,317.2752,317.0991,316.8092,317.1294,315.4601,316.9314,317.4144,318.236,317.5117
2021-01-29 04:56:00,318.2391,316.665,316.316,316.5589,316.6534,315.317,316.3203,316.9548,317.9968,317.4884
2021-01-29 04:58:00,318.3554,316.5838,316.1909,315.9971,317.1477,315.1207,316.5351,317.0147,318.1596,317.1911
2021-01-29 05:00:00,318.3026,316.3848,316.6951,316.1679,316.4162,314.7462,316.064,316.4202,317.874,317.0775
2021-01-29 05:02:00,318.274,316.2737,315.9371,315.8033,316.3664,314.5682,316.1289,316.675,317.7909,316.9907
2021-01-29 05:04:00,318.2474,316.1395,316.0556,315.7718,316.0878,314.3018,315.7926,316.2587,317.7278,316.8922
2021-01-29 05:06:00,318.1983,315.8343,315.8169,315.5647,315.9766,314.0971,315.6594,316.2753,317.698,316.817
2021-01-29 05:08:00,318.0859,315.2856,315.7534,315.4205,315.4973,313.5164,315.4664,315.9805,317.6481,316.6884
2021-01-29 05:10:00,318.1016,315.0485,315.0773,314.7758,314.5436,312.7059,314.7853,315.0762,317.3542,316.4395
2021-01-29 05:12:00,318.0083,314.7352,314.6115,314.3566,314.006,311.556,314.4839,315.0995,317.1616,316.1322
2021-01-29 05:14:00,317.7509,314.5245,314.3326,314.1311,313.5451,311.0469,314.2459,314.6982,317.0519,316.0153
2021-01-29 05:16:00,317.5898,313.785,313.8118,313.6457,313.3111,310.8705,313.525,313.8005,316.9075,315.8483
2021-01-29 05:18:00,317.5312,313.3922,312.9686,312.9876,312.7337,309.8102,313.0219,312.8996,316.5886,315.4708
2021-01-29 05:20:00,317.4417,313.1169,312.628,312.4788,312.1564,309.0713,312.4792,312.8996,316.4824,315.2253
2021-01-29 05:22:00,317.3365,312.7354,311.9869,312.025,311.1249,308.7383,312.0231,312.5215,316.3578,314.8596
2021-01-29 05:24:00,317.4142,312.1901,311.4244,311.4682,312.2977,308.3474,311.7168,312.5215,316.2432,314.6024
2021-01-29 05:26:00,317.3257,311.845,311.3892,311.3074,311.956,308.5039,311.4919,311.7188,316.2448,314.4087
2021-01-29 05:28:00,317.2687,311.5717,311.0252,310.9624,311.5229,307.5918,311.0411,311.3408,316.1336,314.3085
2021-01-29 05:30:00,317.4922,311.3675,310.7232,310.6638,311.2727,307.5221,310.7446,311.1425,316.0273,314.0881
2021-01-29 05:32:00,317.3434,311.2018,310.3458,310.3878,310.181,307.7283,310.5263,310.8228,315.8978,313.9478
2021-01-29 05:34:00,317.295,310.9219,309.9634,310.0197,309.4793,306.5486,310.1352,310.5979,315.7118,313.7707
2021-01-29 05:36:00,317.0692,310.4593,309.5962,309.6599,308.539,305.6396,309.5288,309.8235,315.6487,313.6137
2021-01-29 05:38:00,317.0365,309.8503,308.9617,309.1364,308.1061,305.0573,309.2492,309.4638,315.4377,313.3364
2021-01-29 05:40:00,317.0171,309.3529,308.5443,308.6475,307.4577,303.7998,308.4802,308.881,315.1987,313.0659
2021-01-29 05:42:00,317.0851,308.2852,308.1035,308.0678,306.6379,302.9489,308.0356,308.2597,314.9878,312.8521
2021-01-29 05:44:00,317.1488,307.5644,307.7596,307.4879,306.4973,302.6598,307.3614,307.5435,314.8781,312.6635
2021-01-29 05:46:00,317.1546,307.0084,307.3038,306.8182,306.2331,302.3531,306.701,306.8441,314.9214,312.4614
2021-01-29 05:48:00,317.2336,306.256,306.7546,306.2562,305.5747,300.912,306.0577,306.0614,314.7918,312.2443
2021-01-29 05:50:00,317.1993,306.0222,306.2588,305.5751,305.8273,300.4096,305.5315,305.6617,314.7485,311.9854
2021-01-29 05:52:00,317.2881,305.1851,305.7161,305.0148,305.2849,299.7052,305.0011,304.9423,314.6273,311.7433
2021-01-29 05:54:00,317.2651,304.5288,305.1751,304.5559,305.2197,300.2427,304.358,304.5461,314.5242,311.446
2021-01-29 05:56:00,317.2268,303.9811,304.4339,303.8801,303.9759,299.2074,303.7569,303.7681,314.3666,311.122
2021-01-29 05:58:00,317.0892,303.6659,303.8714,303.2917,303.4019,298.1794,303.0711,303.0872,314.1324,310.9081
2021-01-29 06:00:00,317.0629,302.9716,303.0082,302.572,301.5689,295.9522,302.4072,302.371,313.905,310.4639
2021-01-29 06:02:00,317.0091,302.3659,302.1499,301.8983,300.8071,296.5731,301.6655,301.7065,313.7155,310.1849
2021-01-29 06:04:00,316.9861,301.9075,301.629,301.3837,300.3867,295.2518,301.0993,301.1102,313.5779,309.8226
2021-01-29 06:06:00,316.9281,301.3665,301.0298,300.7364,299.5468,294.7126,300.6231,300.5506,313.3936,309.6204
2021-01-29 06:08:00,316.8489,300.5447,300.3869,300.1118,298.9863,295.5233,299.8142,299.8279,313.1711,309.3183
2021-01-29 06:10:00,316.7802,299.6228,299.559,299.3132,297.7657,291.5093,299.0182,298.9086,313.0431,308.9375
2021-01-29 06:12:00,316.6982,298.5132,298.5237,298.3085,296.8271,290.6169,297.9525,297.8076,312.618,308.555
2021-01-29 06:14:00,316.5948,297.5342,297.5342,297.2866,295.422,292.1452,296.9154,296.7503,312.4038,308.0339
2021-01-29 06:16:00,316.509,296.4377,296.502,296.2327,294.4574,288.9044,295.8407,295.6879,312.0633,307.456
2021-01-29 06:18:00,316.4044,295.5075,295.4201,295.1142,293.3532,288.0944,294.7545,294.4884,311.4155,306.9133
2021-01-29 06:20:00,316.4011,294.3978,294.2763,294.0573,291.9444,289.0424,293.6711,293.371,311.4155,306.3923
2021-01-29 06:22:00,316.3372,293.809,293.2714,293.0113,290.7867,289.0424,292.5737,292.2769,311.0983,305.9096
2021-01-29 06:24:00,316.3283,292.7807,292.353,292.1848,289.9389,283.5381,291.6664,291.4394,310.8741,305.4286
2021-01-29 06:26:00,316.3147,291.8865,291.4501,291.1451,289.0022,283.7379,290.6313,290.3983,310.6201,305.0159
2021-01-29 06:28:00,316.2801,291.1827,290.4315,290.2515,288.0523,284.6166,289.7983,289.4141,310.3414,304.6069
2021-01-29 06:30:00,316.3197,290.5473,289.7316,289.5319,287.3102,283.729,289.0234,288.6596,310.2232,304.2046
2021-01-29 06:32:00,316.2469,289.9566,289.1293,288.9483,286.5228,283.5923,288.272,287.9202,310.0404,303.8854
2021-01-29 06:34:00,316.2755,289.6339,288.4662,288.2002,286.0986,279.8437,287.6913,287.4136,309.9294,303.6216
2021-01-29 06:36:00,316.2613,289.129,288.0424,287.2642,285.9287,279.9805,287.2349,286.8341,309.7932,303.4094
2021-01-29 06:38:00,316.1942,288.2655,287.5666,287.2642,285.3683,279.3015,285.7365,286.4306,309.7047,303.1689
2021-01-29 06:40:00,316.2454,287.8415,286.3534,286.1695,284.4496,279.7239,285.3362,285.2591,309.4711,302.825
2021-01-29 06:42:00,316.1974,287.5448,285.9557,285.8281,284.4776,279.3573,284.9785,285.2591,309.391,302.6847
2021-01-29 06:44:00,316.2397,287.1333,285.594,285.4223,283.6278,279.1387,284.4283,284.5985,309.2568,302.4224
2021-01-29 06:46:00,316.2419,286.8005,285.2515,285.0571,283.3767,278.6116,284.0625,284.2541,309.1356,302.242
2021-01-29 06:48:00,316.2676,286.5621,284.8558,284.6846,282.7379,278.0803,283.7793,283.9232,309.0058,302.0817
2021-01-29 06:50:00,316.2834,286.2437,284.5672,284.3568,282.5908,275.5612,283.4678,283.6204,308.9493,301.9614
2021-01-29 06:52:00,316.2878,286.0509,284.3596,284.0742,282.5974,276.0634,283.269,283.3586,308.9077,301.8412
2021-01-29 06:54:00,316.2783,285.7705,284.1454,283.9267,282.2723,276.4807,283.0636,283.1208,308.8033,301.7427
2021-01-29 06:56:00,316.3528,285.5609,283.836,283.6536,281.7017,275.8867,282.8257,282.9112,308.8001,301.6425
2021-01-29 06:58:00,316.2753,285.7035,283.8769,283.6463,281.9906,276.0984,282.6362,283.0673,308.9292,301.6375
2021-01-29 07:00:00,316.2776,285.6546,283.7227,283.4964,281.7518,276.4808,282.6362,282.7433,308.8165,301.5391
2021-01-29 07:02:00,316.2975,285.6787,283.6584,283.4616,281.8455,277.0969,282.6246,282.7245,308.7487,301.5005
2021-01-29 07:04:00,316.3359,285.6894,283.7185,283.3545,281.911,276.6206,282.5955,282.8055,308.8813,301.5606
2021-01-29 07:06:00,316.336,285.6144,283.7617,283.4884,281.8272,276.0005,282.6429,282.8094,308.8845,301.5624
2021-01-29 07:08:00,316.3326,285.5348,283.7767,283.4765,281.7456,278.346,282.7297,282.8074,308.8997,301.5806
2021-01-29 07:10:00,316.3657,285.1909,283.6395,283.3668,281.5624,275.7409,282.495,282.7275,308.8533,301.5574
2021-01-29 07:12:00,316.3151,284.8936,283.7015,283.3427,280.3723,277.4812,282.3252,282.5215,308.8696,301.6057
2021-01-29 07:14:00,316.2743,284.576,283.1356,282.7962,280.6131,273.6021,281.8598,282.1318,308.7138,301.4003
2021-01-29 07:16:00,316.2748,284.1685,282.6398,282.3924,279.8,275.5641,281.483,281.6252,308.6508,301.2368
2021-01-29 07:18:00,316.2453,283.6091,282.0989,281.8188,279.6836,277.4443,280.9805,280.9896,308.5561,301.0581
2021-01-29 07:20:00,316.2474,283.1921,281.6581,281.42,279.0187,274.33,280.4035,280.4861,308.4479,300.8409
2021-01-29 07:22:00,316.2149,282.8171,281.1723,280.9378,278.3221,272.1183,279.9149,280.0792,308.3703,300.662
2021-01-29 07:24:00,316.2216,282.6135,280.7736,280.4817,278.0652,277.008,279.5681,279.5517,308.2555,300.4784
